heightOfBoard,widthOfBoard,numberOfMine,seed,r0,c0,summonMode,iterateMode,sTime,msTime,solved3BV,total3BV,isHelped
10,10,10,1700320904,5,4,3,-2,16,16000,14,14,0
10,10,10,1700321445,5,5,3,-2,13,13000,11,11,0
10,10,10,1700322644,4,4,3,-2,11,11000,12,12,0
10,10,10,1700322954,4,6,3,-2,16,16000,17,17,0
16,16,40,1700323138,7,6,3,-2,35,35000,39,82,0
16,16,40,1700323289,7,7,3,-2,77,77000,48,48,0
16,16,40,1700324884,7,7,3,-2,66,66000,56,56,0
9,9,10,1700325068,4,4,3,-2,16,16000,14,14,0
9,9,10,1700325093,4,3,3,-2,23,23000,17,17,0
9,9,10,1700325121,5,4,3,-2,19,19000,15,15,0
9,9,10,1700325143,5,3,3,-2,20,20000,15,15,0
9,9,10,1700325165,3,4,3,-2,20,20000,15,15,0
9,9,10,1700325187,4,2,3,-2,19,19000,13,13,0
9,9,10,1700325207,4,4,3,-2,17,17000,15,15,0
16,16,40,1700325261,8,7,3,-2,85,85000,69,69,0
16,16,40,1700325351,7,6,3,-2,3,3000,3,48,0
16,16,40,1700325357,9,7,3,-2,37,37000,27,46,0
16,16,40,1700325396,9,7,3,-2,89,89000,61,61,0
16,30,99,1700325509,7,15,3,-2,142,142000,111,177,0
16,30,99,1700325659,7,13,3,-2,221,221000,144,144,0
16,30,99,1700325943,8,13,3,-2,18,18000,14,197,0
16,30,99,1700325940,7,14,3,-2,290,290000,146,178,0
16,30,99,1700326236,8,14,3,-2,26,26000,32,165,0
16,30,99,1700326270,8,12,3,-2,236,236000,192,192,0
42,88,715,1700367613,19,43,3,-2,126,126000,57,1182,0
42,88,715,1700367819,19,42,3,-2,236,236000,169,1292,0
42,88,715,1700368169,19,39,3,-2,895,895000,604,1169,0
16,30,99,1700377405,7,13,3,-2,274,274000,162,172,0
10,10,10,1700377860,4,4,3,-2,15,15000,11,11,0
9,9,10,1700377899,4,4,3,-2,18,18000,15,15,0
10,10,10,1700394986,4,4,3,-2,11,11000,5,5,0
10,10,10,1700395007,5,3,3,-2,13,13000,9,9,0
10,10,10,1700395024,4,4,3,-2,18,18000,14,14,0
10,10,10,1700395045,5,4,3,-2,18,18000,14,14,0
10,10,10,1700395065,5,5,3,-2,10,10000,12,12,0
9,9,10,1700395123,4,4,3,-2,17,17000,16,16,0
9,9,10,1700395154,4,4,3,-2,12,12000,9,9,0
9,9,10,1700395179,4,3,3,-2,18,18000,23,23,0
16,16,40,1700395235,7,7,3,-2,65,65000,65,65,0
16,16,40,1700395356,7,6,3,-2,4,4000,2,64,0
16,16,40,1700395363,8,5,3,-2,12,12000,8,54,0
16,16,40,1700395380,9,7,3,-2,7,7000,6,65,0
16,16,40,1700395388,10,6,3,-2,60,60000,52,52,0
16,30,99,1700395586,7,13,3,-2,210,210000,157,157,0
16,30,99,1700395844,7,14,3,-2,90,90000,68,152,0
16,30,99,1700395942,8,13,3,-2,211,211000,168,168,0
16,30,99,1700396164,8,14,3,-2,273,273000,179,179,0
16,30,99,1700396441,8,14,3,-2,227,227000,130,131,0
16,30,99,1700396692,9,13,3,-2,23,23000,17,159,0
16,30,99,1700396720,7,13,3,-2,234,234000,164,164,0
16,30,99,1700396979,9,14,3,-2,192,192000,146,171,0
16,30,99,1700397179,9,13,3,-2,274,274000,183,183,0
16,30,99,1700397451,7,13,3,-2,70,70000,71,186,0
16,30,99,1700397534,7,13,3,-2,2,2000,1,167,0
16,30,99,1700397532,7,14,3,-2,131,131000,103,151,0
16,30,99,1700397688,8,12,3,-2,13,13000,11,168,0
16,30,99,1700397688,8,13,3,-2,230,230000,168,168,0
16,30,99,1700397939,8,13,3,-2,17,17000,11,186,0
16,30,99,1700397948,8,13,3,-2,267,267000,213,213,0
16,30,99,1700398226,8,12,3,-2,215,215000,159,159,0
42,88,715,1700398523,21,39,3,-2,15,15000,21,1259,0
42,88,715,1700398569,18,40,3,-2,532,532000,356,1227,0
42,88,715,1700399197,18,42,3,-2,903,903000,755,1298,0
16,16,40,1700408909,7,7,3,-2,84,84000,44,51,0
16,16,40,1700459231,3,6,3,-2,70,70000,43,43,0
16,16,40,1700460114,8,7,3,-2,13,13000,10,62,0
16,16,40,1700460133,8,7,3,-2,77,77000,56,56,0
42,30,200,1700469770,15,13,3,-2,8,8000,6,326,0
42,30,200,1700469791,18,13,3,-2,480,480000,363,363,0
42,88,715,1700485610,23,37,3,-2,175,175000,155,1298,0
42,88,715,1700485809,23,40,3,-2,832,832000,618,1133,0
42,88,715,1700486683,20,42,3,-2,503,503000,341,1200,0
42,88,715,1700495407,20,41,3,-2,460,460000,342,1287,0
16,30,99,1700561765,7,15,3,-2,200,200000,172,172,0
42,88,715,1700562225,21,43,3,-2,1863,1863000,1226,1235,0
16,30,99,1700814728,7,16,2,-2,191,191000,123,161,0
16,30,99,1701110637,6,11,3,-2,232,232000,166,166,0
16,30,99,1701140448,7,15,3,-2,154,154000,96,174,0
